2017-07-24 20:57:43.692	    7f46cb46e740	INFO 	logging	contrib/epee/src/mlog.cpp:148	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [6] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:main+0x265 [0x5c2ac5]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [7] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7f63ca2bd830]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	    [8] /home/chip/Downloads/monero/build/release/bin/monero-wallet-cli:_start+0x29 [0x5ca7b9]
2017-07-24 22:17:56.185	    7f63cce40740	INFO 	stacktrace	src/common/stack_trace.cpp:158	
2017-07-24 22:17:56.282	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Starting refresh...
2017-07-24 22:17:56.635	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Refresh done, blocks received: 0
2017-07-24 22:17:56.635	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Balance: 0.000000000000, unlocked balance: 0.000000000000
2017-07-24 22:17:56.635	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	Background refresh thread started
2017-07-24 22:19:27.126	    7f63c6b4d700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <27f3443ddfa3b1d40e0d17c09b204c4c58b69928acd9edb8e87216156b075854>
2017-07-24 22:19:27.126	    7f63c6b4d700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 1, transaction <27f3443ddfa3b1d40e0d17c09b204c4c58b69928acd9edb8e87216156b075854>, received Wed Jul 21 14:59:13 2100

2017-07-24 22:19:27.129	    7f63c6b4d700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <11e3eddd861fcf84017cf1d3ab04e198c943580c32e4078594be94390fb9092a>
2017-07-24 22:19:27.129	    7f63c6b4d700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 2, transaction <11e3eddd861fcf84017cf1d3ab04e198c943580c32e4078594be94390fb9092a>, received Wed Jul 21 14:59:13 2100

2017-07-24 22:19:27.151	    7f63c6b4d700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <b00cee422989b726faf3c90fd99dfc59c70e9caa26c051161c61818a48315394>
2017-07-24 22:19:27.151	    7f63c6b4d700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 3, transaction <b00cee422989b726faf3c90fd99dfc59c70e9caa26c051161c61818a48315394>, received Wed Jul 21 14:59:13 2100

2017-07-24 22:19:50.761	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	       1     in      10:18:08 PM       0.004119879553 27f3443ddfa3b1d40e0d17c09b204c4c58b69928acd9edb8e87216156b075854 0000000000000000 - 
2017-07-24 22:19:50.761	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	       2     in      10:18:08 PM       0.004119879553 11e3eddd861fcf84017cf1d3ab04e198c943580c32e4078594be94390fb9092a 0000000000000000 - 
2017-07-24 22:19:50.762	    7f63cce40740	INFO 	global	src/simplewallet/simplewallet.cpp:190	       3     in      10:18:10 PM       0.004119879553 b00cee422989b726faf3c90fd99dfc59c70e9caa26c051161c61818a48315394 0000000000000000 - 
2017-07-24 22:20:57.586	    7f63c6b4d700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <72d3c27ae14fca55346c4e04314a96d489ee5ecdf15977f9a8adad4d79c0bb69>
2017-07-24 22:20:57.586	    7f63c6b4d700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 4, transaction <72d3c27ae14fca55346c4e04314a96d489ee5ecdf15977f9a8adad4d79c0bb69>, received Wed Jul 21 14:59:13 2100

2017-07-24 22:20:57.589	    7f63c6b4d700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <5899fb7ad21a61d6bbe376ea31c835078970c21e73a26a5aa23ddef2542424a5>
2017-07-24 22:20:57.589	    7f63c6b4d700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 5, transaction <5899fb7ad21a61d6bbe376ea31c835078970c21e73a26a5aa23ddef2542424a5>, received Wed Jul 21 14:59:13 2100

2017-07-24 22:20:57.606	    7f63c6b4d700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <1d7d561e93c070c7322aa0c9976d1a45085ff73a795668d3b2212e9ed43c4c74>
2017-07-24 22:20:57.606	    7f63c6b4d700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 6, transaction <1d7d561e93c070c7322aa0c9976d1a45085ff73a795668d3b2212e9ed43c4c74>, received Wed Jul 21 14:59:13 2100

2017-07-24 22:20:57.614	    7f63c6b4d700	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:904	Received money: 0.004119879553, with tx: <eca58eb5eb7ca561318522a70f8bba98861235feec02ec46c9983cf0a0846aa4>
2017-07-24 22:20:57.614	    7f63c6b4d700	INFO 	global	src/simplewallet/simplewallet.cpp:190	Height 7, transaction <eca58eb5eb7ca561318522a70f8bba98861235feec02ec46c9983cf0a0846aa4>, received Wed Jul 21 14:59:13 2100

2017-07-24 22:22:27.843	    7f63c6b4d700	ERROR	net.http	contrib/epee/include/net/http_client.h:390	HTTP_CLIENT: Failed to SEND
